"STATISTIC Label","Year","Type of Journey","UNIT","VALUE"
"Passenger Journeys by Rail (Thousand)","2017","All journeys","Number","45505"
"Passenger Journeys by Rail (Thousand)","2017","Mainline and other services","Number","11557"
"Passenger Journeys by Rail (Thousand)","2017","Dublin suburban services","Number","12696"
"Passenger Journeys by Rail (Thousand)","2017","DART","Number","20077"
"Passenger Journeys by Rail (Thousand)","2017","International journeys","Number","1175"
"Passenger Journeys by Rail (Thousand)","2018","All journeys","Number","47960"
"Passenger Journeys by Rail (Thousand)","2018","Mainline and other services","Number","12438"
"Passenger Journeys by Rail (Thousand)","2018","Dublin suburban services","Number","13299"
"Passenger Journeys by Rail (Thousand)","2018","DART","Number","20934"
"Passenger Journeys by Rail (Thousand)","2018","International journeys","Number","1290"
"Passenger Journeys by Rail (Thousand)","2019","All journeys","Number","50060"
"Passenger Journeys by Rail (Thousand)","2019","Mainline and other services","Number","13179"
"Passenger Journeys by Rail (Thousand)","2019","Dublin suburban services","Number","13997"
"Passenger Journeys by Rail (Thousand)","2019","DART","Number","21560"
"Passenger Journeys by Rail (Thousand)","2019","International journeys","Number","1324"
"Passenger Journeys by Rail (Thousand)","2020","All journeys","Number","17930"
"Passenger Journeys by Rail (Thousand)","2020","Mainline and other services","Number","4667"
"Passenger Journeys by Rail (Thousand)","2020","Dublin suburban services","Number","4772"
"Passenger Journeys by Rail (Thousand)","2020","DART","Number","8044"
"Passenger Journeys by Rail (Thousand)","2020","International journeys","Number","448"
"Passenger Journeys by Rail (Thousand)","2021","All journeys","Number","17411"
"Passenger Journeys by Rail (Thousand)","2021","Mainline and other services","Number","5044"
"Passenger Journeys by Rail (Thousand)","2021","Dublin suburban services","Number","3989"
"Passenger Journeys by Rail (Thousand)","2021","DART","Number","7845"
"Passenger Journeys by Rail (Thousand)","2021","International journeys","Number","533"
"Passenger Journeys by Rail (Thousand)","2022","All journeys","Number","35845"
"Passenger Journeys by Rail (Thousand)","2022","Mainline and other services","Number","10338"
"Passenger Journeys by Rail (Thousand)","2022","Dublin suburban services","Number","8740"
"Passenger Journeys by Rail (Thousand)","2022","DART","Number","15930"
"Passenger Journeys by Rail (Thousand)","2022","International journeys","Number","836"
"Passenger Journeys by Rail (Thousand)","2023","All journeys","Number","46066"
"Passenger Journeys by Rail (Thousand)","2023","Mainline and other services","Number","13210"
"Passenger Journeys by Rail (Thousand)","2023","Dublin suburban services","Number","11562"
"Passenger Journeys by Rail (Thousand)","2023","DART","Number","19944"
"Passenger Journeys by Rail (Thousand)","2023","International journeys","Number","1350"
